dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Eu quero adiar a nomeação de um Lorde até que eu me aconselhe com meus súditos. 
dlga_start:relative_saved_1a|Obrigado! Obrigado, {senhor/senhora}, por me resgatar desses demônios. Meu irmão em {s9} foi quem os enviou?
dlga_relative_saved_1a:close_window|Sim. Eu disse que o encontraria. Eu aconselho que retorne para sua família o mais rápido possível - e tenha cuidado na estrada.
dlga_start:bandit_leader_1a|Ai! Poupe-me! Poupe minha vida! Deixe-me ir e eu vou pra longe daqui, aprender um ofício honesto, e você nunca ouvirá de mim outra vez!
dlga_bandit_leader_1a:bandit_leader_1b|Eu vou poupar a sua vida -- mas em troca, quero informações. Você ou seus companheiros sequestram o irmão de um comerciante proeminente na cidade. Diga-me onde você o está escondendo e me dê sua palavra de que vai parar de incomodar as pessoas dessas redondezas, assim você estará livre para ir.
dlga_start:looter_leader_1|O que você quer?
dlga_looter_leader_1:looter_leader_2|Estava procurando você. Diga-me onde vocês mantém seus prisioneiros, e vou deixar você ir.
dlga_looter_leader_1:close_window|Nada. Nós deixaremos você em paz.
dlga_looter_leader_2:looter_leader_3|Hah! Aqueles prisioneiros só serão libertados se você pagar o resgate deles. Trouxe alguma prata?
dlga_looter_leader_3:close_window|Não, mas eu trouxe aço.
dlga_bandit_leader_1b:close_window|Oh Deus abençoe você, {reg59? minha senhora: meu senhor}. Deus o abençoe. Nós não fizemos nenhum mal ao rapaz. Nós o mantivemos em nosso esconderijo perto de {s9}. Descreverei a área nas proximidades, em detalhes, pra que não haja nenhum engano nisso...
dlga_start:rescue_prisoner_succeed_2|{playername}, você o salvou! Muito obrigado por resgatar meu {s11}. Por favor, tome isso como um pequeno reembolso pelo seu ato nobre.
dlga_rescue_prisoner_succeed_2:lord_pretalk|É sempre uma honra servir, {s65}.
dlga_start_up_quest_1_next:close_window|Você está bem? Bem... Acho que está vivo, de qualquer maneira. Não sei se podemos dizer o mesmo do outro camarada. Aquele é um ladrão a menos pra incomodar nossas ruas à noite, embora os céus saibam que ele não será o último... De qualquer forma, talvez você possa me ajudar com algo. Vamos falar mais sobre isso lá dentro. Aqui fora, nós não sabemos quem pode estar ouvindo.
dlga_start:merchant_quest_2a|Excelente trabalho. Você contratou homens suficientes pra enfrentar os bandidos. Agora..--viajantes que entram em {s9} nos contaram que há um pequeno grupo de assaltantes à espreita do lado de fora da cidade. Eu suspeito que eles são todos do mesmo bando, o mesmo que levou o meu irmão. Caçe-os e derrote-os, e faça-os revelar a localização de seu covil!
dlga_start:merchant_quest_3a|Então, você descobriu onde eles esconderam meu irmão? Excelente trabalho. Orgulho-me de ser um excelente juiz de caráter, e você parece ser um {reg59? mulher: homem} que faz as coisas. Agora, vá lá fora e salve o couro imprestável dele!
dlga_start:merchant_quest_3b|Bem... Meu irmão está seguro em casa. Não sei ao certo o que fazer com ele..--talvez mandá-lo para uma universidade fora de Calradia. Assim, se ele for abatido em uma briga de rua, ninguém pode dizer que a culpa é minha. Mas isso não é problema seu. Aqui está o resto da sua recompensa. Foi bem merecida.
dlga_merchant_quest_3b:merchant_quest_4a|O dinheiro é muito bem-vindo, e fico feliz em ter sido útil.
dlga_merchant_quest_4a:merchant_quest_4b|Bom! Agora... Estaria interessado em fazer um pouco mais?
dlga_merchant_quest_4b:merchant_quest_4b1|Possivelmente. O que você precisa?
dlga_merchant_quest_4b1:merchant_quest_4b2|Lembra que eu disse que os bandidos tinham um aliado dentro dos muros? Acho que sei quem é -- ninguém menos que o capitão da guarda. Alguns meses atrás, este Capitão, vendo a quantidade de lucro que nós comerciantes estávamos fazendo do comércio além das fronteiras, decidiu emprestar algum dinheiro para patrocinar uma caravana. Infelizmente, como muitos que são novos para o comércio, ele não conseguiu perceber que grande lucro só vem com grande risco. Então ele afundou todo o seu dinheiro nas mais caras mercadorias, e é claro, sua caravana foi capturada e saqueada, e ele perdeu tudo.
dlga_merchant_quest_4b2:merchant_quest_4b3|Como consequência, ao que parece, nosso capitão voltou-se para a vilania pra recuperar sua fortuna. Eu acho que faria o mesmo se, proíbam os céus, alguma vez enfrentasse o endividamento e a ruína. Agora, qualquer capitão da guarda no valor de seu salário terá alguns ladrões e salteadores na sua folha de pagamento, para informar sobre o resto, mas nosso capitão decide empregar esses bastardos por atacado. Ele os traz pra cidade, os deixa fazer o que querem, e levam uma parte de sua renda. Você ouviu sobre caçadores virando guardas de caça ? Bem, na infeliz terra de Calradia, às vezes guardas de caça vão virar caçadores. Por sorte, tem ainda umas poucas almas corajosas, honestas na guarda que me contaram como ele trabalha.
dlga_merchant_quest_4b3:merchant_quest_4b4|Agora..-- eis meu plano. Eu poderia trazer isto à atenção do {s4}, Lorde da cidade, mas isso significaria um inquérito, minha palavra contra a do Capitão, e testemunhas podem ser compradas e provas destruídas, ou talvez a coisa toda seja esquecida se o inimigo vier através da fronteira de novo, e tudo que eu vou conseguir pelos meus problemas é uma faca nas costelas. Em tempos de guerra, veja você, o olho de um rei vagueia longe de seu domínio, e seus súditos sofrem. Então tenho outra ideia. Eu tenho um pequeno grupo de habitantes da cidade juntos, alguns homens a meu serviço e alguns outros que perderam parentes para esses bandidos, vamos invadir a casa do Capitão e acorrentá-lo antes de {s4}, com a possibilidade de prendermos também alguns bandidos para comprovar seus atos.
dlga_merchant_quest_4b4:merchant_quest_4b5|Tudo que eu preciso agora é de alguém pra conduzir meu pequeno exército em batalha--e não consigo pensar em ninguém melhor do que você. Então, o que me diz?
dlga_merchant_quest_4b5:merchant_quest_4b6|Como eu sei que está me dizendo a verdade?
dlga_merchant_quest_4b6:merchant_quest_4b7|Ah, bem, acho que é possível que eu encontre uma dúzia de bandidos, que estejam dispostos a dar suas vidas para dar a um estranho passando uma falsa impressão de vida na velha {s4}... Bem, acho que você não pode realmente saber se a minha palavra conta, mas acho que você aprendeu até agora que meu dinheiro é bom e há outros 100 dinares, ou talvez um pouco mais, que estão esperando por você se você me fizer esse último favorzinho. Então, o que acha?
dlga_merchant_quest_4b7:merchant_quest_4b8|Tudo bem, eu vou liderar seus homens.
dlga_merchant_quest_4b7:merchant_quest_4_decline|Desculpe. Isto é demais e rápido demais. Preciso de tempo para pensar.
dlga_merchant_quest_4b8:merchant_quest_4b9|Esplêndido. Faz muito tempo desde que eu apostei tanto numa única jogada de dados, e francamente acho isso emocionante. Meus homens estão prontos para avançar a seu comando. Está pronto?
dlga_merchant_quest_4b9:merchant_quest_4_accept|Sim. Dê-lhes o sinal.
dlga_merchant_quest_4b9:merchant_quest_4_decline|Agora não. Preciso descansar antes de poder lutar de novo.
dlga_merchant_quest_4_accept:close_window|Bom! Agora--ataque forte, ataque rápido, e o capitão e seus capangas não saberão o que os acertou. Que os céus estejam com você!
dlga_merchant_quest_4_decline:close_window|Certo. Posso manter meus homens a postos. Se você demorar muito, então suponho que terei de terminar isto sem você, mas eu ficaria mais satisfeito se pudesse fazer parte disso também. Até breve.
dlga_merchant_quest_2a:close_window|Muito bem. Eu devo caçar bandidos.
dlga_merchant_quest_2a:merchant_quest_2a_whynotcome|Por que você não vem conosco?
dlga_merchant_quest_2a_whynotcome:merchant_quest_2a|Porque eu estou te pagando para ir cuidar disso. Essa é a resposta curta. A resposta longa é que tenho algumas pistas para seguir aqui na cidade, e eu tenho simplesmente tanta chance de ser espancado na cabeça quanto você, se é o que está perguntando. Mas eu respeito sua pergunta. Agora, o que me diz?
dlga_merchant_quest_2a:close_window.1|Não posso lidar com essa questão neste momento.
dlga_merchant_quest_3a:close_window|Muito bem. Eu vou agora atacar os bandidos em seu covil, e encontrar seu irmão.
dlga_merchant_quest_3a:close_window.1|Não posso lidar com essa questão neste momento.
dlga_start:merchant_quest_persuasion|Você pode fazer o que quiser, {minha senhora: meu senhor}, mas estou decepcionado. Você faria bem em reconsiderar. Sou um homem rico e mostraria minha gratidão em moeda.
dlga_merchant_quest_persuasion:merchant_quest_1_prologue_3|Você foi convincente. Eu ajudarei você.
dlga_merchant_quest_persuasion:merchant_quest_2|Você foi convincente. Eu ajudarei você.
dlga_merchant_quest_persuasion:merchant_quest_3|Você foi convincente. Eu ajudarei você.
dlga_merchant_quest_persuasion:merchant_quest_4b8|Você foi convincente. Eu ajudarei você.
dlga_merchant_quest_persuasion:close_window|Como eu disse, tenho negócios mais importantes em outro lugar.
dlga_merchant_quest_2:merchant_quest_2a|Agora -- vá procurar e derrotar aquele grupo de bandidos.
dlga_merchant_quest_3:merchant_quest_3a|Agora-- vá atacar aquele esconderijo de bandidos, recuperar meu irmão e mostrar a esses ladrões o que acontece com aqueles que ameaçam minha Casa.
dlga_start:close_window.7|Ah--graças aos céus... Graças aos céus... Estou salvo?
dlga_start:merchant_closing_statement_2|Ah... {playername}. As coisas não foram tão bem como eu esperava. {s5} não conseguiu encontrar nele algo que violasse a paz. Oh, ele está grato suficiente que eu o livrei de seu capitão vigarista -- um guarda que deixa entrar bandidos vai deixar entrar um exército inimigo, se o preço for bom --mas ele não pode exatamente me aturar por aí como uma lembrança duradoura de seu fracasso em cuidar das coisas por si mesmo.
dlga_merchant_closing_statement_2:merchant_closing_statement_3|Isso não parece justo...
dlga_merchant_closing_statement_3:merchant_closing_statement_4|Justo? Isto é Calradia, {minha senhorita: meu filho}! Reis fazem o que eles querem, e o resto de nós faz o que devem. Ele não me prendeu, e em vez disso me deu tempo para vender minhas propriedades -- até disse aos outros comerciantes que me dessem um preço justo, também. É generoso o suficiente, para um rei -- mas ele é um rei fraco, como todos são aqui, e reis fracos devem sempre olhar para sua autoridade em primeiro lugar e a justiça em segundo. Creio que eu faria o mesmo, no lugar dele.
dlga_merchant_closing_statement_4:close_window|De qualquer modo, eu não iria até ele pedir a minha parte fosse você -- mas {s5} tomou nota de você e decidiu que não merece enforcamento, e isso é algo ao qual vou brindar a qualquer dia da semana. Ele pode até mesmo ter um trabalho para você mais adiante. Ou, você pode vender sua espada para um de seus concorrentes. De qualquer forma, espero que tenha aprendido um pouco sobre o que será preciso pra ficar vivo nesta terra problemática, e eu suspeito que o dinheiro que você ganhou não seja desperdiçado. Boa sorte.
dlga_merchant_quests_last_word:close_window|Estou me preparando para sair da cidade em pouco tempo. Foi uma honra conhecê-lo. Boa sorte.
dlga_member_intel_liaison:member_intel_liaison_results|O que você descobriu?
dlga_start:member_intel_liaison|Saudações, estranho.
dlga_member_intel_liaison:close_window|É hora de tirar você daqui. Vamos deixar a cidade separadamente, mas junte-se a mim logo depois.
dlga_member_intel_liaison:close_window.1|Você está fazendo um bom trabalho. Fique aqui mais um pouco.
dlga_member_intel_liaison_results:member_intel_liaison|{s11} Eu percebi que você tem mantido algumas notas sobre Lordes em particular. Eu anotei os mesmos com minhas descobertas.
dlga_member_fief_grant_1:member_fief_grant_2|Qual feudo tens em mente?
dlga_member_fief_grant_2:member_fief_grant_3|{s11}
dlga_member_fief_grant_2:do_member_trade|Deixe para lá. Não há nenhum feudo que eu possa oferecer.
dlga_member_fief_grant_3:close_window|{s5}
dlga_start:close_window.8|Partiremos quando estiver pronto.
dlga_start:close_window.9|Por favor, não desperdice mais do meu tempo hoje, {senhora: senhor}. Talvez nos encontraremos novamente em nossas viagens.
dlga_start:companion_recruit_intro_response|{s5}
dlga_companion_recruit_intro_response:companion_recruit_backstory_a|{s6}
dlga_companion_recruit_intro_response:close_window|{s7}
dlga_companion_recruit_backstory_a:companion_recruit_backstory_b|{s5}
dlga_companion_recruit_backstory_b:companion_recruit_backstory_c|{s5}
dlga_companion_recruit_backstory_c:companion_recruit_backstory_response|{s5}
dlga_companion_recruit_backstory_response:companion_recruit_signup|{s6}
dlga_companion_recruit_backstory_response:close_window|{s7}
dlga_companion_recruit_signup:companion_recruit_signup_b|{s5}
dlga_companion_recruit_signup_b:companion_recruit_signup_response|{s5}
dlga_companion_recruit_signup_response:close_window|Infelizmente não posso mais suportar mais bocas para alimentar em minha companhia no momento.
dlga_companion_recruit_signup_response:companion_recruit_payment|{s6}
dlga_companion_recruit_signup_response:close_window.1|{s7}
dlga_companion_recruit_payment:companion_recruit_signup_confirm|.
dlga_companion_recruit_payment:companion_recruit_payment_response|{s5}
dlga_companion_recruit_payment_response:companion_recruit_signup_confirm|{s6}
dlga_companion_recruit_payment_response:close_window|Desculpe. Não posso pagar isso no momento.
dlga_start:companion_recruit_meet_again|Nos veremos novamente.
dlga_companion_recruit_meet_again:companion_recruit_backstory_delayed|Então... O que tem feito desde nosso último encontro?
dlga_companion_recruit_meet_again:close_window|Bom dia para você.
dlga_start:companion_recruit_secondchance|Pois não?
dlga_companion_recruit_secondchance:companion_recruit_backstory_b|Minhas desculpas se fui rude mais cedo. Qual era sua história mesmo?
